Sector,TSC Category,TSC Title,TSC Description,Emerging TSC,TSC Key ID
Accountancy,Financial and Transaction Management,Claims Management,"Coordinate and carry out timely and accurate adjudication, validation and disbursement of claims proceeds to creditors",No,53
Accountancy,Financial and Transaction Management,Cost Management,"Analyse, plan and manage costs for cost efficiency and expense reduction",No,54
Accountancy,Financial and Transaction Management,Credit Risk Management,"Establishing the organisation’s financial and credit policies and frameworks to identify, assess and manage the organisation’s credit risk exposure",No,55
Accountancy,Financial and Transaction Management,Debt Restructuring,Assess processes to address risk of default on existing debt or evaluate opportunities to take advantage of lower available interest rates through debt restructuring,No,56
Accountancy,Financial and Transaction Management,Financial Analysis,Analyse the financial statements and data to provide insights about the financial performance and position of the organisation over time,No,57
Accountancy,Financial and Transaction Management,Financial Closing,Carry out month-end closing and reconciliation to ensure financial records are maintained properly,No,58
Accountancy,Financial and Transaction Management,Financial Management,Ensure healthy finance to aid business growth and operations,No,59
Accountancy,Financial and Transaction Management,Financial Modelling,Develop financial models and valuation models to arrive at a valuation conclusion,Yes,60
Accountancy,Financial and Transaction Management,Financial Planning,Evaluate and develop budget in line with organisation’s strategies and plans,No,61
Accountancy,Financial and Transaction Management,Financial Reporting,Prepare general-purpose financial statements and disclosure notes in accordance with applicable financial reporting framework,No,62
Accountancy,Financial and Transaction Management,Financial Reporting Quality,Establish internal control framework for audit purposes,No,63
Accountancy,Financial and Transaction Management,Financial Statements Analysis,Analyse financial statements in accordance with the applicable frameworks,No,64
Accountancy,Financial and Transaction Management,Financial Transactions,Prepare business documentation and cash balances,No,65
Accountancy,Financial and Transaction Management,Group Accounting and Consolidation,Apply group accounting and consolidation of separate organisations to create a single entity,No,66
Accountancy,Financial and Transaction Management,Post-deal Integration Management,"Ensure all aspects of post-merger integration activities are well-coordinated, to achieve the desired synergies and declared business goals",No,67
Accountancy,Financial and Transaction Management,Restructuring Insolvency Advisory,Advise on restructuring and insolvency processes to ensure statutory deadlines are met and review the treatment of debtors to align with insolvency proceedings,No,68
Accountancy,Financial and Transaction Management,Transaction Due Diligence,"Perform reviews to verify details on investors, investments, products and deals prior to finalising transactions",No,69
Accountancy,Financial and Transaction Management,Transactional Accounting,Apply transactional accounting to record financial events,No,70
Accountancy,Financial and Transaction Management,Treasury Management,Balance and optimise the organisation’s cash needs and cash balances and determine the optimal financing of working capital,No,71
Accountancy,Financial and Transaction Management,Valuation,Perform valuation for business and financial assets for deal structuring,No,72
Accountancy,Financial and Transaction Management,Valuation Approaches and Methodologies,Apply valuation approaches and methodologies to arrive at valuation conclusions,No,73
Accountancy,Financial and Transaction Management,Valuation Conclusion and Reporting,Develop valuation reports for the valuation engagement,No,74
Accountancy,Financial and Transaction Management,Valuation Research and Analysis,Research and analyse information to arrive at a valuation conclusion,No,75
Accountancy,Financial and Transaction Management,Valuation of Different Classes of Interest,Perform valuation of different classes of interests,No,76
Accountancy,Internal Audit,Due Professional Care,Apply care and skill expected of a prudent and competent internal auditor,No,77
Accountancy,Internal Audit,Internal Audit Engagement Execution,"Execute and review internal audit engagements, document and communicate findings in accordance with the International Professional Practices Framework",No,78
Accountancy,Internal Audit,Internal Audit Engagement Planning,Determine priorities of the internal audit and plan the timing and scope of audit procedures and resources,No,79
Accountancy,Internal Audit,Internal Audit Function Management,Develop and manage the Internal Audit function,No,80
Accountancy,Internal Audit,Internal Audit Quality Assurance,Develop the Quality Assurance and Improvement Programme,No,81
Accountancy,"Risk, Compliance and Governance",Audit Compliance,Ensure compliance with corporate policies and guidelines,No,82
Accountancy,"Risk, Compliance and Governance",Enterprise Risk Management,Assess the adequacy of risk management process and frameworks,No,83
Accountancy,"Risk, Compliance and Governance",Environment and Social Governance,Understand the latest industry and/or client standards regarding Environment and Social Governance (ESG) and undertake ESG research activities,No,84
Accountancy,"Risk, Compliance and Governance",Fraud Detection and Prevention,Perform review of internal controls and systems to detect and prevent potential fraud,No,85
Accountancy,"Risk, Compliance and Governance",Fraud Investigation Planning and Execution,Perform review of internal controls and systems to determine if fraudulent activities have occurred,No,86
Accountancy,"Risk, Compliance and Governance",Fraud Risk Management,"Evaluate organisation's potential for occurrence of fraud and develop fraud risk awareness throughout the organisation",No,87
Accountancy,"Risk, Compliance and Governance",Governance,Evaluate and improve governance practices in the organisation,No,88
Accountancy,"Risk, Compliance and Governance",Internal Controls,Evaluate effectiveness and efficiency of internal controls in the organisation,No,89
Accountancy,"Risk, Compliance and Governance",Professional and Business Ethics,Foster strong ethical standards and resolve ethical conflicts in accordance with the relevant principles and processes,Yes,90
Accountancy,"Risk, Compliance and Governance",Regulatory Compliance,"Comply with policies, procedures, and external regulations",No,91
Accountancy,"Risk, Compliance and Governance",Regulatory Risk Assessment,Analyse the impact of latest global regulatory developments and relevant laws on overall audit and/or engagement strategies,No,92
Accountancy,"Risk, Compliance and Governance",Regulatory Strategy,Align regulatory activities with business strategies,No,93
Accountancy,"Risk, Compliance and Governance",Risk Advisory,Provide customised risk management advice to organisations to manage and optimise risks,No,94
Accountancy,"Risk, Compliance and Governance",Risk Appetite and Goals Setting,Determine and manage the organisation’s risk appetite in alignment with strategic objectives,No,95
Accountancy,"Risk, Compliance and Governance",Risk Assessment,"Perform assessment of risks, including fraud risks, through understanding the client’s business",No,96
Accountancy,"Risk, Compliance and Governance",Risk Management,Apply organisational policies and procedures to manage and control financial and non-financial risks,No,97
Accountancy,Taxation,Tax Advisory,Apply relevant and holistic tax advisories for better strategic management,No,98
Accountancy,Taxation,Tax Compliance,Evaluate tax computations and systems to ensure compliance with statutory tax obligations,No,99
Accountancy,Taxation,Tax Computation,"Compute Goods and Services Tax, and tax liabilities",No,100
Accountancy,Taxation,Tax Controversy Management,"Respond to tax queries from the authorities with completeness, relevance and accuracy",No,101
Accountancy,Taxation,Tax Implications,Assess tax implication of changes in tax laws,No,102
Accountancy,Taxation,Tax Risk Management,Review tax risk frameworks to ensure risks are minimised and managed properly,No,103
Accountancy,Taxation,Taxation Laws,Analyse impact of evolving tax legislation on business environment,No,104
Accountancy,Taxation,Transfer Pricing,Determine the price for goods and services at which different divisions of a company transact with each other,No,105
Aerospace,Aerospace and Engineering Fundamentals,Aerodynamics Principles Application,Apply and use principles of aerodynamics to optimise and solve problems related to aircraft performance and flight safety,No,106
Aerospace,Aerospace and Engineering Fundamentals,Aerospace Maintenance Practices Application,"Perform aircraft maintenance practices in accordance with applicable technical manuals and organisational procedures. This includes application of safety practices on aircraft, hangar and workshop facilities, use of appropriate tools, equipment and methods and interpretation of engineering drawings",No,107
Aerospace,Aerospace and Engineering Fundamentals,Aerospace Materials and Hardware Selection,"Select appropriate aerospace materials and hardware for maintenance, repair, overhaul or manufacturing of aircrafts in accordance with applicable original equipment manufacturer (OEM) manuals and organisational procedures",No,108
Aerospace,Aerospace and Engineering Fundamentals,Digital Techniques Application,"Apply and use principles of digital techniques and electronic instrument systems for maintenance, repair, overhaul or manufacturing of aircraft systems",No,109
Aerospace,Aerospace and Engineering Fundamentals,Electrical Fundamentals Application,"Apply and use electrical fundamentals for maintenance, repair, overhaul or manufacturing of aircraft electrical and power generation systems",No,110
Aerospace,Aerospace and Engineering Fundamentals,Electronic Fundamentals Application,"Apply and use principles of electronics for maintenance, repair, overhaul or manufacturing of aircraft electronics and related systems",No,111
Aerospace,Aerospace and Engineering Fundamentals,Gas Turbine Engine Principles Application,"Apply and use principles of gas turbine engines for maintenance, repair, overhaul or manufacturing of aircraft engines and related systems in accordance with the original equipment manufacturer (OEM) manuals and organisational procedures",No,112
Aerospace,Aerospace and Engineering Fundamentals,"Helicopter Aerodynamics, Structures and Systems Principles Application","Apply and use principles of helicopter aerodynamics, structures and systems for maintenance, repair, overhaul or manufacturing in accordance with the original equipment manufacturer (OEM) manuals and organisational procedures",No,113
Aerospace,Aerospace and Engineering Fundamentals,Human Factors Application and Error Management,"Apply human factors and error management in aviation context. This includes understanding of human limitations and errors, organisational factors and working environment that might contribute to incidents and accidents",No,114
Aerospace,Aerospace and Engineering Fundamentals,Mathematical Concepts Application,Apply mathematical concepts to solve engineering problems,No,115
Aerospace,Aerospace and Engineering Fundamentals,Physics Concepts Application,Apply physics concepts to solve engineering problems,No,116
Aerospace,Aerospace and Engineering Fundamentals,"Piston Aeroplane Aerodynamics, Structures and Systems Principles Application","Apply and use principles of piston aeroplane aerodynamics, structures and systems for maintenance, repair, overhaul or manufacturing in accordance with the original equipment manufacturer (OEM) manuals and organisational procedures",No,117
Aerospace,Aerospace and Engineering Fundamentals,Piston Engine Principles Application,"Apply and use principles of piston engines for maintenance, repair, overhaul or manufacturing in accordance with the original equipment manufacturer (OEM) manuals and organisational procedures",No,118
Air Transport,Aircraft Operations,Aircraft Dispatch,Review flight dispatch documents to identify dispatch issues and determine mission continuance,No,119
Aerospace,Aerospace and Engineering Fundamentals,Propeller Principles Application,"Apply and use principles of propeller theory for maintenance, repair, overhaul or manufacturing in accordance with the original equipment manufacturer (OEM) manuals and organisational procedures",No,120
Aerospace,Aerospace and Engineering Fundamentals,Propulsion Principles Application,"Apply and use principles of propulsion for maintenance, repair, overhaul or manufacturing in accordance with the original equipment manufacturer (OEM) manuals and organisational procedures",No,121
Aerospace,Aerospace and Engineering Fundamentals,"Turbine Aeroplane Aerodynamics, Structures and Systems Principles Application","Apply and use principles of turbine aeroplane aerodynamics, structures and systems for maintenance, repair, overhaul or manufacturing in accordance with the original equipment manufacturer (OEM) manuals and organisational procedures",No,122
Aerospace,Aerospace and Engineering Fundamentals,Workshop Practices Application,"Operate general workshop tools, equipment and materials in compliance with workplace safety and health requirements at the operational level and validate the work done in accordance with applicable technical manuals and organisational procedures.",No,123
Aerospace,Aircraft Maintenance,Aircraft Cabin Equipment and Furnishing Maintenance,"Maintain and repair aircraft cabin equipment and furnishing using appropriate resources and conduct functional checks after maintenance work. This includes maintenance of aircraft upholstery, cabin components and cabin furnishing installations.",No,124
Aerospace,Aircraft Maintenance,Aircraft Communication Systems Maintenance,"Maintain aircraft communication systems using appropriate resources and conduct functional tests after maintenance work. This includes maintenance of radio and audio communication systems, radio emergency and reporting systems, and in-flight entertainment systems.",No,125
Aerospace,Aircraft Maintenance,Aircraft Electrical Systems Maintenance,Maintain aircraft electrical systems using appropriate resources and conduct functional tests after maintenance work. This includes checking of electrical installations and maintenance of electrical power and lighting systems.,No,126
Aerospace,Aircraft Maintenance,Aircraft Fuel and Engine Systems Maintenance,"Maintain aircraft fuel and engine systems using appropriate resources and conduct functional tests after maintenance work. This includes maintenance of engine fire protection systems, aircraft fuel systems, engine controls and indication systems, and auxiliary power units.",No,127
Aerospace,Aircraft Maintenance,Aircraft Instrument Systems Maintenance,"Maintain aircraft instrument systems using appropriate resources and conduct functional tests after maintenance work. This includes maintenance of air data systems and instruments, gyroscopic instruments and compass systems, indication and warning systems, and flight data recording systems.",No,128
Aerospace,Aircraft Maintenance,Aircraft Navigation and Automated Flight Systems Maintenance,"Maintain aircraft navigation and automated flight systems using appropriate resources and conduct functional tests after maintenance work. This includes maintenance of radar navigation, radio and inertial navigation, and automated flight control systems.",No,129
Aerospace,Aircraft Maintenance,Airframe Systems Maintenance,"Maintain airframe systems using appropriate resources and conduct functional tests after maintenance work. This includes maintenance of aircraft hydraulic systems, aircraft flight control systems, aircraft landing gear systems, aircraft door systems, aircraft pneumatic systems and aircraft environmental control and pressurisation systems.",No,130
Aerospace,Aircraft Maintenance,"Electrical Termination, Connection and Measurement","Perform electrical terminations, connections and measurements using appropriate resources. This includes crimping, soldering, wire wrapping and harnessing, as well as checking serviceability of electrical components, wires and cables.",No,131
Aerospace,Aircraft Maintenance,Electrical Wiring Interconnection Systems Maintenance,"Maintain electrical wiring interconnection systems using appropriate resources and conduct functional checks after maintenance work. This includes identification and correction of wiring system degradation, incorporation of zonal inspection concept and adoption of proactive maintenance practices. ",No,132
Aerospace,Aircraft Maintenance,Sheet Metal Structures Maintenance,"Maintain and repair sheet metal structures using appropriate resources and conduct inspection checks after maintenance work. This includes performance of simple surface corrosion treatments, fabrication of sheet metal parts, installation and removal of fasteners.",No,133
Aerospace,Business Development and Strategy Management,Business Negotiation,Conduct negotiations to establish win-win outcomes for the organisation,No,134
Aerospace,Business Development and Strategy Management,Business Opportunities Development,Identify new business opportunities to better meet the needs of existing markets and bring benefits to the organisation,No,135
Aerospace,Business Development and Strategy Management,Business Performance Management,"Implement organisational performance systems to meet business plans and objectives by establishing performance indicators, tracking progress and addressing gaps",No,136
Aerospace,Business Development and Strategy Management,Change Management,"Manage organisational change management systems to drive organisational success and outcomes by preparing, equipping and supporting adoption of change",No,137
Aerospace,Business Development and Strategy Management,Knowledge Management,"Develop and deploy systematic management of information within databases, documents, policies and procedures, as well as promote knowledge as a strategic organisational asset and key enabler of organisational learning.",No,138
Aerospace,Business Development and Strategy Management,Strategy Planning,Develop organisational strategies and policies by analysing the impact of internal and external influencing factors and seeking consultation from relevant stakeholders.,No,139
Aerospace,Component Maintenance,Aircraft Batteries Maintenance,Service and maintain aircraft batteries using appropriate resources and conduct functional checks.,No,140
Aerospace,Component Maintenance,Aircraft Communication Components Maintenance,Maintain and repair aircraft communication components using appropriate resources and conduct functional checks,No,141
Aerospace,Component Maintenance,Aircraft Electrical Equipment and Accessories Maintenance,"Maintain and repair aircraft electrical equipment and accessories using appropriate resources and conduct functional checks. This includes maintenance of alternating current (AC) and direct current (DC) machines, power contactors, circuit breakers, relays and lighting accessories.",No,142
Aerospace,Component Maintenance,Aircraft Hydraulic Components Maintenance,Maintain and repair aircraft hydraulic system components in dedicated workshops using appropriate resources and conduct functional checks.,No,143
Air Transport,Aircraft Operations,Aircraft Emergency Management,Command and control aircraft during emergency situations in accordance with Safety and Emergency Procedures (SEP),No,144
Aerospace,Component Maintenance,Aircraft Instruments Maintenance,"Maintain and repair aircraft instruments using appropriate resources and conduct functional checks. This includes maintenance of pitot-static, magnetic compass, gyroscopic, flight indicating system and engine indicating instruments.",No,145
Aerospace,Component Maintenance,Aircraft Landing Gears Maintenance,Maintain and repair aircraft landing gear systems in dedicated workshops using appropriate resources and conduct functional checks.,No,146
Aerospace,Component Maintenance,Aircraft Navigation and Radar Equipment Maintenance,Maintain and repair aircraft navigation systems and radar equipment using appropriate resources and conduct functional checks.,No,147
Aerospace,Component Maintenance,Aircraft Pneumatic Components Maintenance,Maintain and repair aircraft pneumatic system components in dedicated workshops using appropriate resources and conduct functional checks,No,148
Aerospace,Component Maintenance,Aircraft Sensing Components Maintenance,"Maintain and repair aircraft sensing components using appropriate resources and conduct functional checks. This includes maintenance of servo actuators, pressure transmitters, synchro, fuel indication system, engine indicating system, oxygen system and cabin pressurisation components.",No,149
Aerospace,Component Maintenance,Aircraft Wheels and Brakes Maintenance,Maintain and repair aircraft wheels and brakes in dedicated workshops using appropriate resources and conduct functional checks,No,150
Aerospace,Component Maintenance,Fuel Accessories Components Maintenance,Maintain and repair aircraft fuel accessories components in dedicated workshops using appropriate resources and conduct functional checks.,No,151
Aerospace,Component Maintenance,Nacelle Mechanical Structures Maintenance,Maintain and repair aircraft nacelle mechanical structures using appropriate resources and conduct functional checks,No,152
Aerospace,Engine Manufacturing and Maintenance,Engine Cleaning,"Clean aircraft engine parts, accessories, modules and components using appropriate resources.",No,153
Aerospace,Engine Manufacturing and Maintenance,Engine Component Parts Inspection,"Inspect and certify aircraft engine parts, accessories, modules and components using appropriate resources.",No,154
Aerospace,Engine Manufacturing and Maintenance,Engine Disassembly and Assembly,Disassemble and assemble aircraft engines and perform balancing of rotating parts using appropriate resources.,No,155
Aerospace,Engine Manufacturing and Maintenance,Engine Rigging and De-rigging,Perform rigging and de-rigging of aircraft engines for testing purposes using appropriate resources.,No,156
Aerospace,Engine Manufacturing and Maintenance,"Engines and Components Handling, Inspection and Packing","Perform manual handling techniques to receive aircraft engines, components and parts, conduct first article inspections and pack using appropriate resources",No,157
Aerospace,Engine Manufacturing and Maintenance,New Engine Build Process Application,"Apply new engine build processes for a production environment that includes designs for assembly, workplace design and layout, tooling, equipment and build process specifications and quality control in compliance with organisational procedures and regulatory requirements",No,158
Aerospace,Enterprise Risk Management,Aviation Legislation Compliance,Comply with relevant aviation legislative and regulatory requirements by establishing and adhering to operating procedures to prevent incidents of non-compliance and regulatory oversight.,No,159
Aerospace,Enterprise Risk Management,Business Continuity Planning,Develop and implement business continuity plans for organisational preparedness of disruptive events.,No,160
Aerospace,Enterprise Risk Management,Risk Compliance and Governance,"Enforce corporate governance and risk compliance within the organisation through the establishment of policies, compliance programmes and management systems.",No,161
Aerospace,General Management,Budgeting,"Prepare organisational budgets to support short- and long-term business plans through forecasting, allocation and financial policy setting.",No,162
Aerospace,General Management,Project Management,"Execute projects by managing stakeholder engagement, resources, budgets and resolving problems.",No,163
Aerospace,General Management,Stakeholder Management,"Manage organisation's key stakeholders, strategic partners and investors to ensure continuous levels of engagement by identifying needs, setting service standards and resolving issues in accordance with organisational procedures.",No,164
Aerospace,"Health, Safety and Environment Management",Carbon Footprint Management,Quantify and reduce the organisational carbon footprint,No,165
Aerospace,"Health, Safety and Environment Management",Green Manufacturing Design and Implementation,"Integrate environmental sustainability through the development, implementation and review of sustainability strategies and programmes that reduce waste, conserve energy, and use replacements for hazardous substances.",Yes,166
Aerospace,"Health, Safety and Environment Management",Workplace Safety and Health Framework Development and Implementation,Develop workplace safety and health (WSH) frameworks and implement procedures and practices to ensure a safe and reliable workplace environment.,No,167
Aerospace,Maintenance Management,Condition-based Assets Monitoring Management,Formulate and implement condition-based maintenance procedures to enhance organisation maintenance regimes and operational reliability.,No,168
Aerospace,Maintenance Management,Maintenance Coordination,Establish and implement organisational maintenance strategies and programmes,No,169
Aerospace,Maintenance Management,Maintenance Organisation Structure Management,"Form and upkeep a maintenance organisation structure for aircraft, engine and component maintenance in accordance with legislative requirements",No,170
Aerospace,Maintenance Management,Predictive Maintenance,Develop and implement predictive maintenance strategies and plans to optimise equipment availability and reliability,Yes,171
Aerospace,Manufacturing and Operations,Computer-aided Manufacturing,Manage computer-aided manufacturing systems and perform computer numerical control part programming to manufacture components and products.,No,172
Aerospace,Manufacturing and Operations,Manufacturing Process Management,Perform process engineering and ensure the stability of the manufacturing process as well as troubleshoot process deviations and propose strategies for process performance improvement,No,173
Aerospace,Manufacturing and Operations,Metallic Material Characterisation,Conduct tests and measurement taking to evaluate suitability of engineering materials for uses in manufacturing,No,174
Aerospace,Manufacturing and Operations,Product Lifecycle Management,"Apply collaborative product lifecycle management solutions in the organisation for the purposes of creating a central repository for all product data and managing this information throughout the entire product lifecycle to improve efficiency, cost effectiveness and decision making",No,175
Aerospace,Manufacturing and Operations,Product and Machine Assembly,"Utilise component preparation, assembly and troubleshooting techniques to assemble manufacturing equipment, end-products and sub-components",No,176
Aerospace,Manufacturing and Operations,Production Line Set-Up,"Design mechanism units, systems and drives for industrial manufacturing applications",No,177
Aerospace,Manufacturing and Operations,Production Planning,Establish and implement strategic production planning and scheduling to meet production targets and cycle time indices,No,178
Aerospace,Precision Engineering,Cutting,Manage and implement material removal processes and activities to manufacture components and products.,No,179
Aerospace,Precision Engineering,Geometric Dimensioning and Tolerancing,Define and verify acceptable engineering tolerances of products’ and parts’ geometry,No,180
Aerospace,Precision Engineering,Image Processing and Industrial Vision Inspection,Perform digital image processing and industrial vision inspections using imaging hardware and optics and advanced processes in accordance with design specifications and organisational requirements,No,181
Aerospace,Precision Engineering,Jigs and Fixtures Design,Facilitate implementation of product operations through the design of jigs and fixtures required for manufacturing activities,No,182
Aerospace,Precision Engineering,Laser and Optics Application,Use of laser and optics to automate manufacturing processes by introducing amplified electromagnetism and optical technologies and alignment processes,No,183
Aerospace,Precision Engineering,Machining,"Manage and perform machining activities to manufacture and maintain products and components, incorporating computer numerical control and computer-aided manufacturing processes",No,184
Aerospace,Precision Engineering,Material Joining,"Fabricate components and construct different structures by bringing together parts of different properties, dimensions and compositions",No,185
Aerospace,Precision Engineering,Precision Measurement,Perform precision measurements with relevant techniques and equipment to meet requirements for product conformity,No,186
Aerospace,Productivity and Innovation,Applied Research and Development Management,Manage research and development projects and activities to innovate and develop new products or operational processes.,Yes,187
Aerospace,Productivity and Innovation,Continuous Process Improvement,"Apply continuous improvement processes to improve products, services or processes seeking incremental improvement over time or breakthrough improvement all at once",No,188
Aerospace,Productivity and Innovation,Engineering Problem Solving,"Apply the eight disciplines methodology for systematic problem solving including root cause analysis, failure mode effect and analysis, containment actions, and corrective actions and preventive actions in accordance with organisational systems and processes",No,189
Aerospace,Productivity and Innovation,Innovation Management,"Manage organisation's ability to respond to internal and external opportunities by using creativity to introduce new ideas, processes and products.",No,190
Aerospace,Productivity and Innovation,Lean Manufacturing,"Apply concepts, tools and techniques of ‘lean’ to improve efficiency in the workplace",No,191
Aerospace,Quality Management,Audit and Review Management,"Manage audit and review processes and procedures including planning, execution and reporting, to ensure compliance with legal and quality management system (QMS) requirements",No,192
Aerospace,Quality Management,Quality System Management,Coordinate and direct the organisation’s activities to meet customer and regulatory requirements as well as identify opportunities for improvement.,No,193
Aerospace,Quality Management,Visual Testing,"Perform visual testing on engineering materials, components and fabricated items including casting, welding and wrought products. This involves the use of appropriate equipment and tools, evaluation and reporting of test results in accordance with the applicable standards and organisational procedures.",No,194
Aerospace,Special Processes,Aerospace Heat Treatment Process,"Perform heat treatment processes on aircraft parts and components using appropriate tools, equipment, materials and methods in accordance with applicable technical manuals and organisational procedures",No,195
Aerospace,Special Processes,Chemical Processing,"Perform chemical processing applications on parts and components using appropriate tools, equipment, materials and methods in accordance with applicable technical manuals and organisational procedures",No,196
Aerospace,Special Processes,Coating,"Perform surface coating processes on parts and components using appropriate tools, equipment, materials and methods in accordance with applicable technical manuals and organisational procedures.",No,197
Aerospace,Special Processes,Composite Structures Design and Maintenance,"Design and maintain aircraft composite structures using appropriate resources. It includes designing composite structures and repair schemes, identifying composite defects as well as performing repairs in accordance with structural repair manuals and organisational procedures.",No,198
