TSC Code,Proficiency Level,Proficiency Description,Range of Application,TSC Key ID,TSC Application ID
EPW-EMO-3011-1.1,3,"Implement procedures in the deployment, maintenance, testing and procurement of standby mobile generators","Range of application includes, but is not limited to:
- Cables
- Transformers
- Switchgears
- Reactors
- Substations 
- Direct current (DC) Units
- Protection relays
",855,39
EPW-EMO-4011-1.1,4,"Manage the deployment of a fleet of mobile generators including planned and emergency deployment, operation, maintenance, testing and procurement","Range of application includes, but is not limited to:
- Cables
- Transformers
- Switchgears
- Reactors
- Substations 
- Direct current (DC) Units
- Protection relays
",855,40
EPW-EMO-5011-1.1,5,Develop and/or revise Standard Operating Procedures (SOPs) for deploying mobile generators and manage generator equipment condition,"Range of application includes, but is not limited to:
- Cables
- Transformers
- Switchgears
- Reactors
- Substations 
- Direct current (DC) Units
- Protection relays
",855,41
EPW-EMO-2012-1.1,2,"Assist in protection testing, set up equipment as per the standard operating procedures (SOPs) for routine testing and witness the pre-commissioning tests on protection systems at new substations or new circuits","Range of application includes, but is not limited to:
- Current transformer and/or voltage transformer (CT/VT) circuits
- Trip circuits
- Protection relays used in substations
- Distance protection
- Differential protection
- Busbar protection 
- Main and backup protection 
",856,42
EPW-EMO-3012-1.1,3,Interpret test results of protection relays to identify any potential issues and/or equipment failures,"Range of application includes, but is not limited to:
- Current transformer and/or voltage transformer (CT/VT) circuits
- Trip circuits
- Protection relays used in substations
- Distance protection
- Differential protection
- Busbar protection 
- Main and backup protection 
",856,43
EPW-EMO-4012-1.1,4,Analyse network protection system faults and develop follow-up measures to resolve issues,"Range of application includes, but is not limited to:
- Current transformer and/or voltage transformer (CT/VT) circuits
- Trip circuits
- Protection relays used in substations
- Distance protection
- Differential protection
- Busbar protection 
- Main and backup protection 
",856,44
EPW-EMO-5012-1.1,5,"Review protection philosophies, relay settings and procedures to reflect best practices and maintain optimal network equipment conditions","Range of application includes, but is not limited to:
- Current transformer and/or voltage transformer (CT/VT) circuits
- Trip circuits
- Protection relays used in substations
- Distance protection
- Differential protection
- Busbar protection 
- Main and backup protection 
",856,45
EPW-EMO-2013-1.1,2,Apply gas network flow dynamics principles through network monitoring systems,"Range of application includes, but is not limited to:
- Supervisory Control and Data Acquisition (SCADA)
- Gas Transportation IT System Solution (GTSS)
- Online pipeline simulation
- Global fleet management systems
- Gas and electricity mapping systems 
",857,46
EPW-EMO-3013-1.1,3,Analyse gas network capacities and availability for booking by end users,"Range of application includes, but is not limited to:
- Supervisory Control and Data Acquisition (SCADA)
- Gas Transportation IT System Solution (GTSS)
- Online pipeline simulation
- Global fleet management systems
- Gas and electricity mapping systems 
",857,47
EPW-EMO-4013-1.1,4,Oversee adjustment of gas network flow and pressure settings for optimal performance of networks,"Range of application includes, but is not limited to:
- Supervisory Control and Data Acquisition (SCADA)
- Gas Transportation IT System Solution (GTSS)
- Online pipeline simulation
- Global fleet management systems
- Gas and electricity mapping systems 
",857,48
EPW-EMO-5013-1.1,5,Drive enhancements to increase the robustness of gas network systems,"Range of application includes, but is not limited to:
- Supervisory Control and Data Acquisition (SCADA)
- Gas Transportation IT System Solution (GTSS)
- Online pipeline simulation
- Global fleet management systems
- Gas and electricity mapping systems 
",857,49
EPW-EMO-4014-1.1,4,"Propose planned outages based on analysis of plants, equipment or system factors and needs","Range of application includes, but is not limited to:
- Combined Cycle Gas Turbine
- Co-Generation Plants 
- Tri-Generation Plants
",858,50
EPW-EMO-5014-1.1,5,"Determine optimal timings and formulate short to long-term plans and measures for plants, equipment and system outages","Range of application includes, but is not limited to:
- Combined Cycle Gas Turbine
- Co-Generation Plants 
- Tri-Generation Plants
",858,51
EPW-EMO-2016-1.1,2,"Follow power plant operational guidelines, safety and regulatory requirements","Range of application includes, but is not limited to:
- Plant Operations Systems: 
- Co-generation systems, combined cycle gas turbine, heat recovery steam generator (HRSG), gas turbine, steam turbine, boiler, Programmable Logic Controller (PLC), Distributed Control systems, including valves, transmitters, meters and transformers, Supervisory Control and Data Acquisition (SCADA), natural gas system, generator, plant electrical equipment

- Plant Operations Auxiliaries or Ancillaries: 
- Water treatment plant, waste treatment plant, waste water recovery system, fuel preparation systems, feed water flow system, lubricant oil system, barring gear, air compressors, gas compressors

- Multi-Utility Systems: 
Water desalination plant, de-mineralisation plant, steam recovery systems, Programmable Logic Controller (PLC), Distributed Control systems, water, steam and gas analysers 

- Multi-Utility Auxiliaries or Ancillaries: 
- Fuel preparation systems, oil system, cooling towers
",861,52
EPW-EMO-3016-1.1,3,"Administer power plant operations according to operational guidelines, safety and regulatory requirements","Range of application includes, but is not limited to:
- Plant Operations Systems: 
- Co-generation systems, combined cycle gas turbine, heat recovery steam generator (HRSG), gas turbine, steam turbine, boiler, Programmable Logic Controller (PLC), Distributed Control systems, including valves, transmitters, meters and transformers, Supervisory Control and Data Acquisition (SCADA), natural gas system, generator, plant electrical equipment

- Plant Operations Auxiliaries or Ancillaries: 
- Water treatment plant, waste treatment plant, waste water recovery system, fuel preparation systems, feed water flow system, lubricant oil system, barring gear, air compressors, gas compressors

- Multi-Utility Systems: 
Water desalination plant, de-mineralisation plant, steam recovery systems, Programmable Logic Controller (PLC), Distributed Control systems, water, steam and gas analysers 

- Multi-Utility Auxiliaries or Ancillaries: 
- Fuel preparation systems, oil system, cooling towers
",861,53
EPW-EMO-4016-1.1,4,"Manage power plant operations according to operational guidelines, safety and regulatory requirements","Range of application includes, but is not limited to:
- Plant Operations Systems: 
- Co-generation systems, combined cycle gas turbine, heat recovery steam generator (HRSG), gas turbine, steam turbine, boiler, Programmable Logic Controller (PLC), Distributed Control systems, including valves, transmitters, meters and transformers, Supervisory Control and Data Acquisition (SCADA), natural gas system, generator, plant electrical equipment

- Plant Operations Auxiliaries or Ancillaries: 
- Water treatment plant, waste treatment plant, waste water recovery system, fuel preparation systems, feed water flow system, lubricant oil system, barring gear, air compressors, gas compressors

- Multi-Utility Systems: 
Water desalination plant, de-mineralisation plant, steam recovery systems, Programmable Logic Controller (PLC), Distributed Control systems, water, steam and gas analysers 

- Multi-Utility Auxiliaries or Ancillaries: 
- Fuel preparation systems, oil system, cooling towers
",861,54
EPW-EMO-4020-1.1,4,Analyse data and reports to identify and propose solutions for tactical issues in town gas production plants,"Range of application includes, but is not limited to:
- Transformers 
- Single phase, three-phase, auto transformers 
- Transmitters 
- Pressure transmitters, temperature transmitters 
- Cables 
- Earth cables, live cables, cable protection, single core cables, three-core armoured cables, paired cables
",867,55
EPW-EMO-5016-1.1,5,"Review power plant operations procedures, safety and regulatory requirements against industry best practices","Range of application includes, but is not limited to:
- Plant Operations Systems: 
- Co-generation systems, combined cycle gas turbine, heat recovery steam generator (HRSG), gas turbine, steam turbine, boiler, Programmable Logic Controller (PLC), Distributed Control systems, including valves, transmitters, meters and transformers, Supervisory Control and Data Acquisition (SCADA), natural gas system, generator, plant electrical equipment

- Plant Operations Auxiliaries or Ancillaries: 
- Water treatment plant, waste treatment plant, waste water recovery system, fuel preparation systems, feed water flow system, lubricant oil system, barring gear, air compressors, gas compressors

- Multi-Utility Systems: 
Water desalination plant, de-mineralisation plant, steam recovery systems, Programmable Logic Controller (PLC), Distributed Control systems, water, steam and gas analysers 

- Multi-Utility Auxiliaries or Ancillaries: 
- Fuel preparation systems, oil system, cooling towers
",861,56
EPW-EMO-6016-1.1,6,"Formulate organisational strategies and development plans to achieve optimal performance of the power plants, auxiliaries and ancillaries","Range of application includes, but is not limited to:
- Plant Operations Systems: 
- Co-generation systems, combined cycle gas turbine, heat recovery steam generator (HRSG), gas turbine, steam turbine, boiler, Programmable Logic Controller (PLC), Distributed Control systems, including valves, transmitters, meters and transformers, Supervisory Control and Data Acquisition (SCADA), natural gas system, generator, plant electrical equipment

- Plant Operations Auxiliaries or Ancillaries: 
- Water treatment plant, waste treatment plant, waste water recovery system, fuel preparation systems, feed water flow system, lubricant oil system, barring gear, air compressors, gas compressors

- Multi-Utility Systems: 
Water desalination plant, de-mineralisation plant, steam recovery systems, Programmable Logic Controller (PLC), Distributed Control systems, water, steam and gas analysers 

- Multi-Utility Auxiliaries or Ancillaries: 
- Fuel preparation systems, oil system, cooling towers
",861,57
EPW-EMO-2017-1.1,2,Apply equipment setup procedures for power quality investigations and collate relevant data,"Range of application includes, but is not limited to: 
- High resolution measurements on power quality: 
- Harmonics and distortion
- Transients
- Power factor
- Voltage sags and dips 
- Current and voltage instability
",862,58
EPW-EMO-3017-1.1,3,Administer site measurement procedures and analyse power quality problems for low-voltage issues,"Range of application includes, but is not limited to: 
- High resolution measurements on power quality: 
- Harmonics and distortion
- Transients
- Power factor
- Voltage sags and dips 
- Current and voltage instability
",862,59
EPW-EMO-4017-1.1,4,Determine power quality issues and root causes and recommend mitigating solutions,"Range of application includes, but is not limited to: 
- High resolution measurements on power quality: 
- Harmonics and distortion
- Transients
- Power factor
- Voltage sags and dips 
- Current and voltage instability
",862,60
EPW-EMO-5017-1.1,5,Formulate power quality investigation and mitigation frameworks and revise them to integrate best practices,"Range of application includes, but is not limited to: 
- High resolution measurements on power quality: 
- Harmonics and distortion
- Transients
- Power factor
- Voltage sags and dips 
- Current and voltage instability
",862,61
EPW-CGP-2012-1.1,2,"Receive, report and record incidents of non-compliance to national laws, regulations and other applicable regulatory documents related to energy or power system performance, reliability, safety and security","Range of application includes, but is not limited to:
- Relevant legislation, regulations and technical references in Energy and Power sector: 
- Technical Reference (TR) 25 : 2016, Singapore Standard Code of Practice (SS CP) 5, Energy Market Authority (EMA) policies, market rules, performance standards, Electricity Act, Market Support Services Code, Metering Code, Code of Conduct for Retail Electricity Licensees, Transmission Code, Regulated Supply Service Code, Gas Act, Gas Network Code (GNC), Gas Supply Code, Gas Safety Code, Gas Metering Code, Gas Retailer Code of Conduct,  Personal Data Protection Act (PDPA), International Organisation for Standardisation (ISO) 55000, Singapore Standards (SS) 555 – Code of Practice for Protection against Lightning, SS 601: 2014 – Code of Practice for Maintenance of Grid-tied Solar Photovoltaic (PV) Power Supply System, String invertor system codes, Singapore Fire Safety Engineering Guidelines by Singapore Civil Defence Force (SCDF)
- Safety regulatory, risk and compliance frameworks
- Regulatory compliance software
- Compliance documentation
- Productivity software
",864,62
EPW-CGP-3012-1.1,3,"Ensure adherence to compliance requirements of national laws, regulations and other applicable regulatory documents in energy or power system planning, production, operations, maintenance and environment protection and endorse non-compliance reports for submission","Range of application includes, but is not limited to:
- Relevant legislation, regulations and technical references in Energy and Power sector: 
- Technical Reference (TR) 25 : 2016, Singapore Standard Code of Practice (SS CP) 5, Energy Market Authority (EMA) policies, market rules, performance standards, Electricity Act, Market Support Services Code, Metering Code, Code of Conduct for Retail Electricity Licensees, Transmission Code, Regulated Supply Service Code, Gas Act, Gas Network Code (GNC), Gas Supply Code, Gas Safety Code, Gas Metering Code, Gas Retailer Code of Conduct,  Personal Data Protection Act (PDPA), International Organisation for Standardisation (ISO) 55000, Singapore Standards (SS) 555 – Code of Practice for Protection against Lightning, SS 601: 2014 – Code of Practice for Maintenance of Grid-tied Solar Photovoltaic (PV) Power Supply System, String invertor system codes, Singapore Fire Safety Engineering Guidelines by Singapore Civil Defence Force (SCDF)
- Safety regulatory, risk and compliance frameworks
- Regulatory compliance software
- Compliance documentation
- Productivity software
",864,63
EPW-EMO-5020-1.1,5,Review issues and solutions to formulate strategies and enhance town gas production plant management,"Range of application includes, but is not limited to:
- Transformers 
- Single phase, three-phase, auto transformers 
- Transmitters 
- Pressure transmitters, temperature transmitters 
- Cables 
- Earth cables, live cables, cable protection, single core cables, three-core armoured cables, paired cables
",867,64
EPW-OUS-3018-1.1,3,Analyse the detection and monitoring of cyber risks,"Range of application includes, but is not limited to:
- Gas Systems Operations
- Transmission and Distribution
",908,65
EPW-CGP-4012-1.1,4,"Monitor planning, operation and maintenance activities for compliance to national laws, regulations and other applicable regulatory documents and prepare compliance reports for submission to the management and the regulator","Range of application includes, but is not limited to:
- Relevant legislation, regulations and technical references in Energy and Power sector: 
- Technical Reference (TR) 25 : 2016, Singapore Standard Code of Practice (SS CP) 5, Energy Market Authority (EMA) policies, market rules, performance standards, Electricity Act, Market Support Services Code, Metering Code, Code of Conduct for Retail Electricity Licensees, Transmission Code, Regulated Supply Service Code, Gas Act, Gas Network Code (GNC), Gas Supply Code, Gas Safety Code, Gas Metering Code, Gas Retailer Code of Conduct,  Personal Data Protection Act (PDPA), International Organisation for Standardisation (ISO) 55000, Singapore Standards (SS) 555 – Code of Practice for Protection against Lightning, SS 601: 2014 – Code of Practice for Maintenance of Grid-tied Solar Photovoltaic (PV) Power Supply System, String invertor system codes, Singapore Fire Safety Engineering Guidelines by Singapore Civil Defence Force (SCDF)
- Safety regulatory, risk and compliance frameworks
- Regulatory compliance software
- Compliance documentation
- Productivity software
",864,66
EPW-CGP-5012-1.1,5,"Recommend organisational policies to the management and/or board and develop business processes and associated audit processes according to national laws, regulations and other applicable regulatory documents, and provide guidance or training on compliance issues","Range of application includes, but is not limited to:
- Relevant legislation, regulations and technical references in Energy and Power sector: 
- Technical Reference (TR) 25 : 2016, Singapore Standard Code of Practice (SS CP) 5, Energy Market Authority (EMA) policies, market rules, performance standards, Electricity Act, Market Support Services Code, Metering Code, Code of Conduct for Retail Electricity Licensees, Transmission Code, Regulated Supply Service Code, Gas Act, Gas Network Code (GNC), Gas Supply Code, Gas Safety Code, Gas Metering Code, Gas Retailer Code of Conduct,  Personal Data Protection Act (PDPA), International Organisation for Standardisation (ISO) 55000, Singapore Standards (SS) 555 – Code of Practice for Protection against Lightning, SS 601: 2014 – Code of Practice for Maintenance of Grid-tied Solar Photovoltaic (PV) Power Supply System, String invertor system codes, Singapore Fire Safety Engineering Guidelines by Singapore Civil Defence Force (SCDF)
- Safety regulatory, risk and compliance frameworks
- Regulatory compliance software
- Compliance documentation
- Productivity software
",864,67
EPW-CGP-6012-1.1,6,Lead regulatory compliance teams and provide guidance on legal and regulatory issues pertaining to energy or power sector business practices and activities,"Range of application includes, but is not limited to:
- Relevant legislation, regulations and technical references in Energy and Power sector: 
- Technical Reference (TR) 25 : 2016, Singapore Standard Code of Practice (SS CP) 5, Energy Market Authority (EMA) policies, market rules, performance standards, Electricity Act, Market Support Services Code, Metering Code, Code of Conduct for Retail Electricity Licensees, Transmission Code, Regulated Supply Service Code, Gas Act, Gas Network Code (GNC), Gas Supply Code, Gas Safety Code, Gas Metering Code, Gas Retailer Code of Conduct,  Personal Data Protection Act (PDPA), International Organisation for Standardisation (ISO) 55000, Singapore Standards (SS) 555 – Code of Practice for Protection against Lightning, SS 601: 2014 – Code of Practice for Maintenance of Grid-tied Solar Photovoltaic (PV) Power Supply System, String invertor system codes, Singapore Fire Safety Engineering Guidelines by Singapore Civil Defence Force (SCDF)
- Safety regulatory, risk and compliance frameworks
- Regulatory compliance software
- Compliance documentation
- Productivity software
",864,68
