TSC Title,Proficiency Level,jobid,jtid,TSC Key ID
Data Analytics,3,1320,84,39
Data Governance,3,1320,85,40
Digital Technology Environment Scanning,4,1320,86,44
Engagement Completion and Reporting,4,1320,87,4
Engagement Execution,5,1320,88,5
Engagement Planning,4,1320,89,6
Engagement Quality Control,4,1320,90,7
Engagement Review,4,1320,91,8
Financial Statements Analysis,4,1320,92,64
Internal Controls,4,1320,93,89
Macroeconomic Analysis,3,1320,94,26
Professional Scepticism and Judgment,4,1320,95,30
Professional and Business Ethics,4,1320,96,90
Programming and Coding,2,1320,97,48
Project Execution and Control,3,1320,98,32
Risk Assessment,4,1320,99,96
Stakeholder Management,4,1320,100,35
Taxation Laws,4,1320,101,104
Benchmarking,3,1430,102,9
Business Acumen,4,1430,103,10
Business Development,3,1430,104,12
Business Planning,4,1430,105,15
Corporate and Business Law,3,1430,106,20
Data Analytics,4,1430,107,39
Data Governance,4,1430,108,40
Digital Technology Environment Scanning,3,1430,109,44
Financial Analysis,3,1430,110,57
Financial Modelling,3,1430,111,60
Macroeconomic Analysis,3,1430,112,26
Professional and Business Ethics,3,1430,113,90
Stakeholder Management,3,1430,114,35
Taxation Laws,3,1430,115,104
Valuation Approaches and Methodologies,3,1430,116,73
Valuation Conclusion and Reporting,3,1430,117,74
Valuation Research and Analysis,3,1430,118,75
Valuation of Different Classes of Interest,3,1430,119,76
Benchmarking,4,1182,120,9
Business Acumen,5,1182,121,10
Business Development,5,1182,122,12
Business Planning,5,1182,123,15
Corporate and Business Law,5,1182,124,20
Data Analytics,4,1182,125,39
Data Governance,4,1182,126,40
Digital Technology Environment Scanning,4,1182,127,44
Financial Analysis,4,1182,128,57
Financial Modelling,5,1182,129,60
Financial Statements Analysis,5,1182,130,64
Macroeconomic Analysis,5,1182,131,26
Professional and Business Ethics,5,1182,132,90
Project Execution and Control,5,1182,133,32
Project Feasibility,4,1182,134,33
Stakeholder Management,5,1182,135,35
Taxation Laws,5,1182,136,104
Valuation Approaches and Methodologies,5,1182,137,73
Valuation Conclusion and Reporting,5,1182,138,74
Valuation Research and Analysis,5,1182,139,75
Valuation of Different Classes of Interest,5,1182,140,76
Benchmarking,5,460,141,9
Business Acumen,6,460,142,10
Business Development,6,460,143,12
Business Planning,6,460,144,15
Corporate and Business Law,5,460,145,20
Data Analytics,4,460,146,39
Data Governance,4,460,147,40
Digital Technology Environment Scanning,5,460,148,44
Financial Analysis,4,460,149,57
Financial Modelling,6,460,150,60
Financial Statements Analysis,5,460,151,64
Macroeconomic Analysis,5,460,152,26
Professional and Business Ethics,6,460,153,90
Project Execution and Control,6,460,154,32
Project Feasibility,5,460,155,33
Stakeholder Management,6,460,156,35
Taxation Laws,5,460,157,104
Valuation Approaches and Methodologies,6,460,158,73
Valuation Conclusion and Reporting,6,460,159,74
Valuation Research and Analysis,6,460,160,75
Valuation of Different Classes of Interest,6,460,161,76
Benchmarking,4,682,162,9
Business Acumen,4,682,163,10
Business Development,4,682,164,12
Business Planning,4,682,165,15
Corporate and Business Law,4,682,166,20
Data Analytics,4,682,167,39
Data Governance,4,682,168,40
Digital Technology Environment Scanning,4,682,169,44
Financial Analysis,4,682,170,57
Financial Modelling,4,682,171,60
Macroeconomic Analysis,4,682,172,26
Professional and Business Ethics,4,682,173,90
Project Execution and Control,4,682,174,32
Project Feasibility,3,682,175,33
Stakeholder Management,4,682,176,35
Taxation Laws,4,682,177,104
Valuation Approaches and Methodologies,4,682,178,73
Valuation Conclusion and Reporting,4,682,179,74
Valuation Research and Analysis,4,682,180,75
Valuation of Different Classes of Interest,4,682,181,76
Benchmarking,5,1375,182,9
Business Continuity Management,4,1375,183,11
Business Process Analysis,5,1375,184,16
Corporate and Business Law,4,1375,185,20
Cyber Security,3,1375,186,38
Data Analytics,4,1375,187,39
Data Governance,4,1375,188,40
Digital Technology Adoption and Innovation,5,1375,189,43
Environment and Social Governance,3,1375,190,84
Financial Analysis,4,1375,191,57
Fraud Risk Management,4,1375,192,87
Governance,5,1375,193,88
Transactional Accounting,4,1082,194,70
Internal Controls,5,1375,195,89
Macroeconomic Analysis,4,1375,196,26
Professional and Business Ethics,6,1375,197,90
Project Execution and Control,6,1375,198,32
Regulatory Risk Assessment,5,1375,199,92
Risk Advisory,6,1375,200,94
Risk Appetite and Goals Setting,5,1375,201,95
Risk Management,6,1375,202,97
Stakeholder Management,6,1375,203,35
Systems Thinking,5,1375,204,36
Benchmarking,3,476,205,9
Business Continuity Management,3,476,206,11
Business Process Analysis,3,476,207,16
Corporate and Business Law,2,476,208,20
Cyber Security,3,476,209,38
Data Analytics,3,476,210,39
Data Governance,3,476,211,40
Digital Technology Adoption and Innovation,3,476,212,43
Environment and Social Governance,3,476,213,84
Financial Analysis,3,476,214,57
Fraud Risk Management,3,476,215,87
Governance,4,476,216,88
Internal Controls,3,476,217,89
Macroeconomic Analysis,3,476,218,26
Professional and Business Ethics,3,476,219,90
Project Execution and Control,3,476,220,32
Regulatory Risk Assessment,4,476,221,92
Risk Advisory,4,476,222,94
Risk Appetite and Goals Setting,3,476,223,95
Risk Management,4,476,224,97
Stakeholder Management,4,476,225,35
Systems Thinking,3,476,226,36
Benchmarking,5,575,227,9
Business Continuity Management,4,575,228,11
Business Process Analysis,5,575,229,16
Corporate and Business Law,4,575,230,20
Cyber Security,3,575,231,38
Data Analytics,4,575,232,39
Data Governance,4,575,233,40
Digital Technology Adoption and Innovation,4,575,234,43
Environment and Social Governance,3,575,235,84
Financial Analysis,4,575,236,57
Fraud Risk Management,3,575,237,87
Governance,5,575,238,88
Internal Controls,4,575,239,89
Macroeconomic Analysis,4,575,240,26
Professional and Business Ethics,5,575,241,90
Project Execution and Control,5,575,242,32
Regulatory Risk Assessment,5,575,243,92
Risk Advisory,5,575,244,94
Welding Process,1,1199,245,214
Risk Appetite and Goals Setting,4,575,246,95
Risk Management,5,575,247,97
Stakeholder Management,5,575,248,35
Systems Thinking,4,575,249,36
Benchmarking,4,1328,250,9
Business Continuity Management,3,1328,251,11
Business Process Analysis,4,1328,252,16
Corporate and Business Law,3,1328,253,20
Cyber Security,3,1328,254,38
Data Analytics,3,1328,255,39
Data Governance,3,1328,256,40
Digital Technology Adoption and Innovation,4,1328,257,43
Environment and Social Governance,3,1328,258,84
Financial Analysis,4,1328,259,57
Fraud Risk Management,3,1328,260,87
Governance,4,1328,261,88
Internal Controls,4,1328,262,89
Macroeconomic Analysis,3,1328,263,26
Professional and Business Ethics,4,1328,264,90
Project Execution and Control,4,1328,265,32
Regulatory Risk Assessment,4,1328,266,92
Risk Advisory,4,1328,267,94
Risk Appetite and Goals Setting,4,1328,268,95
Risk Management,4,1328,269,97
Stakeholder Management,4,1328,270,35
Systems Thinking,3,1328,271,36
Accounting Standards,4,1082,272,49
Accounting and Tax Systems,3,1082,273,37
Audit Compliance,4,1082,274,82
Audit Frameworks,4,1082,275,1
Business Innovation and Improvement,3,1082,276,13
Business Planning,4,1082,277,15
Capital Expenditure and Investment Evaluation,4,1082,278,50
Conflict Management,3,1082,279,19
Data Analytics,3,1082,280,39
Digital Technology Adoption and Innovation,3,1082,281,43
Digital Technology Environment Scanning,3,1082,282,44
Finance Business Partnering,3,1082,283,22
Financial Closing,4,1082,284,58
Financial Management,3,1082,285,59
Financial Reporting,4,1082,286,62
Financial Reporting Quality,4,1082,287,63
Financial Statements Analysis,4,1082,288,64
Group Accounting and Consolidation,4,1082,289,66
Internal Controls,3,1082,290,89
Professional Scepticism and Judgment,3,1082,291,30
Professional Standards,4,1082,292,31
Professional and Business Ethics,4,1082,293,90
Project Management,3,1082,294,34
Regulatory Compliance,3,1082,295,91
Stakeholder Management,3,1082,296,35
Tax Computation,4,1082,297,100
Tax Implications,3,1082,298,102
Taxation Laws,4,1082,299,104
Transfer Pricing,3,1082,300,105
Accounting Standards,4,158,301,49
Accounting and Tax Systems,2,158,302,37
Audit Compliance,4,158,303,82
Business Innovation and Improvement,3,158,304,13
Data Analytics,3,158,305,39
Digital Technology Adoption and Innovation,3,158,306,43
Digital Technology Environment Scanning,3,158,307,44
Financial Closing,3,158,308,58
Financial Management,2,158,309,59
Financial Reporting,2,158,310,62
Financial Reporting Quality,3,158,311,63
Financial Transactions,3,158,312,65
Group Accounting and Consolidation,4,158,313,66
Internal Controls,2,158,314,89
Professional Scepticism and Judgment,3,158,315,30
Professional Standards,3,158,316,31
Professional and Business Ethics,3,158,317,90
Project Management,3,158,318,34
Tax Computation,3,158,319,100
Tax Implications,3,158,320,102
Taxation Laws,3,158,321,104
Transactional Accounting,3,158,322,70
Transfer Pricing,3,158,323,105
Accounting Standards,5,1251,324,49
Accounting and Tax Systems,4,1251,325,37
Audit Compliance,4,1251,326,82
Audit Frameworks,5,1251,327,1
Business Acumen,3,1251,328,10
Business Innovation and Improvement,4,1251,329,13
Business Planning,5,1251,330,15
Conflict Management,4,1251,331,19
Corporate and Business Law,5,1251,332,20
Cost Management,4,1251,333,54
Data Analytics,3,1251,334,39
Digital Technology Adoption and Innovation,4,1251,335,43
Digital Technology Environment Scanning,4,1251,336,44
Finance Business Partnering,4,1251,337,22
Financial Management,4,1251,338,59
Financial Planning,4,1251,339,61
Financial Reporting,5,1251,340,62
Financial Reporting Quality,6,1251,341,63
Financial Statements Analysis,5,1251,342,64
Group Accounting and Consolidation,5,1251,343,66
Internal Controls,4,1251,344,89
Non-Financial Reporting,4,1251,345,28
Professional Scepticism and Judgment,4,1251,346,30
Professional Standards,5,1251,347,31
Professional and Business Ethics,5,1251,348,90
Project Management,4,1251,349,34
Regulatory Compliance,4,1251,350,91
Regulatory Risk Assessment,4,1251,351,92
Stakeholder Management,4,1251,352,35
Tax Implications,4,1251,353,102
Transfer Pricing,4,1251,354,105
Accounting Standards,6,1592,355,49
Audit Compliance,5,1592,356,82
Business Acumen,4,1592,357,10
Business Innovation and Improvement,5,1592,358,13
Business Planning,6,1592,359,15
Business Process Management,5,1592,360,17
Capital Expenditure and Investment Evaluation,6,1592,361,50
Capital Raising,5,1592,362,51
Cash Flow Management,5,1592,363,52
Change Management,5,1592,364,18
Conflict Management,5,1592,365,19
Corporate and Business Law,6,1592,366,20
Data Analytics,4,1592,367,39
Digital Technology Adoption and Innovation,5,1592,368,43
Digital Technology Environment Scanning,5,1592,369,44
Disruption Management,5,1592,370,21
Finance Business Partnering,5,1592,371,22
Financial Analysis,5,1592,372,57
Financial Management,5,1592,373,59
Financial Planning,5,1592,374,61
Financial Reporting,6,1592,375,62
Financial Reporting Quality,6,1592,376,63
Financial Statements Analysis,6,1592,377,64
Internal Controls,5,1592,378,89
Non-Financial Reporting,6,1592,379,28
Professional Scepticism and Judgment,5,1592,380,30
Professional Standards,6,1592,381,31
Professional and Business Ethics,6,1592,382,90
Project Management,5,1592,383,34
Regulatory Compliance,5,1592,384,91
Regulatory Risk Assessment,5,1592,385,92
Regulatory Strategy,5,1592,386,93
Stakeholder Management,5,1592,387,35
Tax Implications,5,1592,388,102
Taxation Laws,6,1592,389,104
Transfer Pricing,5,1592,390,105
Valuation,4,1592,391,72
Accounting Standards,5,566,392,49
Audit Compliance,4,566,393,82
Business Acumen,4,566,394,10
Business Innovation and Improvement,4,566,395,13
Business Planning,5,566,396,15
Capital Expenditure and Investment Evaluation,6,566,397,50
Capital Raising,5,566,398,51
Cash Flow Management,5,566,399,52
Corporate and Business Law,5,566,400,20
Credit Risk Management,5,566,401,55
Digital Technology Environment Scanning,4,566,402,44
Financial Management,5,566,403,59
Financial Reporting,5,566,404,62
Internal Controls,4,566,405,89
Macroeconomic Analysis,5,566,406,26
Management Decision Making,5,566,407,27
Professional Scepticism and Judgment,5,566,408,30
Professional Standards,5,566,409,31
Professional and Business Ethics,5,566,410,90
Project Management,4,566,411,34
Regulatory Compliance,4,566,412,91
Regulatory Risk Assessment,5,566,413,92
Stakeholder Management,5,566,414,35
Treasury Management,5,566,415,71
Accounting Standards,5,427,416,49
Audit Compliance,4,427,417,82
Business Acumen,3,427,418,10
Business Innovation and Improvement,4,427,419,13
Business Planning,5,427,420,15
Capital Expenditure and Investment Evaluation,5,427,421,50
Capital Raising,4,427,422,51
Cash Flow Management,4,427,423,52
Corporate and Business Law,5,427,424,20
Credit Risk Management,4,427,425,55
Digital Technology Environment Scanning,4,427,426,44
Financial Management,4,427,427,59
Financial Reporting,5,427,428,62
Internal Controls,4,427,429,89
Macroeconomic Analysis,5,427,430,26
Management Decision Making,5,427,431,27
Professional Scepticism and Judgment,4,427,432,30
Professional Standards,5,427,433,31
Professional and Business Ethics,5,427,434,90
Project Management,4,427,435,34
Regulatory Compliance,4,427,436,91
Regulatory Risk Assessment,5,427,437,92
Stakeholder Management,4,427,438,35
Treasury Management,4,427,439,71
Accounting and Tax Systems,6,1451,440,37
Audit Compliance,5,1451,441,82
Benchmarking,5,1451,442,9
Business Acumen,5,1451,443,10
Business Innovation and Improvement,5,1451,444,13
Business Planning,6,1451,445,15
Business Process Management,6,1451,446,17
Capital Expenditure and Investment Evaluation,6,1451,447,50
Capital Raising,6,1451,448,51
Change Management,6,1451,449,18
Conflict Management,6,1451,450,19
Corporate and Business Law,6,1451,451,20
Cost Management,6,1451,452,54
Data Analytics,5,1451,453,39
Digital Technology Adoption and Innovation,6,1451,454,43
Digital Technology Environment Scanning,5,1451,455,44
Disruption Management,6,1451,456,21
Finance Business Partnering,6,1451,457,22
Financial Analysis,6,1451,458,57
Financial Management,6,1451,459,59
Financial Planning,6,1451,460,61
Financial Reporting,6,1451,461,62
Financial Reporting Quality,5,1451,462,63
Fraud Risk Management,6,1451,463,87
Internal Controls,6,1451,464,89
Macroeconomic Analysis,5,1451,465,26
Management Decision Making,6,1451,466,27
Non-Financial Reporting,6,1451,467,28
Performance Management,6,1451,468,29
Professional Scepticism and Judgment,5,1451,469,30
Professional Standards,6,1451,470,31
Professional and Business Ethics,6,1451,471,90
Project Execution and Control,6,1451,472,32
Project Management,6,1451,473,34
Regulatory Risk Assessment,6,1451,474,92
Regulatory Strategy,6,1451,475,93
Risk Management,6,1451,476,97
Stakeholder Management,6,1451,477,35
Tax Implications,6,1451,478,102
Taxation Laws,6,1451,479,104
Transfer Pricing,6,1451,480,105
Valuation,4,1451,481,72
Accounting Standards,4,1518,482,49
Corporate and Business Law,2,1518,483,20
Cyber Security,4,1518,484,38
Digital Forensics,3,1518,485,42
Digital Technology Environment Scanning,3,1518,486,44
Evidence Management,3,1518,487,45
Financial Crime Laws and Regulations,3,1518,488,23
Financial Statements Analysis,4,1518,489,64
Forensic Data Analytics,3,1518,490,46
Fraud Detection and Prevention,3,1518,491,85
Fraud Investigation Planning and Execution,3,1518,492,86
Litigation Support,3,1518,493,25
Professional Scepticism and Judgment,3,1518,494,30
Professional and Business Ethics,4,1518,495,90
Programming and Coding,2,1518,496,48
Project Execution and Control,2,1518,497,32
Regulatory Risk Assessment,4,1518,498,92
Stakeholder Management,3,1518,499,35
Accounting Standards,6,1351,500,49
Business Development,6,1351,501,12
Conflict Management,6,1351,502,19
Corporate and Business Law,5,1351,503,20
Cyber Security,5,1351,504,38
Digital Forensics,5,1351,505,42
Digital Technology Environment Scanning,5,1351,506,44
Evidence Management,5,1351,507,45
Financial Crime Laws and Regulations,5,1351,508,23
Financial Statements Analysis,6,1351,509,64
Forensic Data Analytics,5,1351,510,46
Fraud Detection and Prevention,6,1351,511,85
Fraud Investigation Planning and Execution,6,1351,512,86
Governance,5,1351,513,88
Internal Controls,6,1351,514,89
Litigation Support,5,1351,515,25
Professional Scepticism and Judgment,5,1351,516,30
Professional and Business Ethics,6,1351,517,90
Programming and Coding,3,1351,518,48
Project Execution and Control,5,1351,519,32
Project Management,5,1351,520,34
Regulatory Risk Assessment,6,1351,521,92
Risk Assessment,6,1351,522,96
Stakeholder Management,6,1351,523,35
Valuation Approaches and Methodologies,5,1351,524,73
Accounting Standards,5,1497,525,49
Business Development,5,1497,526,12
Conflict Management,5,1497,527,19
Corporate and Business Law,4,1497,528,20
Cyber Security,5,1497,529,38
Digital Forensics,5,1497,530,42
Digital Technology Environment Scanning,5,1497,531,44
Evidence Management,5,1497,532,45
Financial Crime Laws and Regulations,5,1497,533,23
Financial Statements Analysis,5,1497,534,64
Forensic Data Analytics,5,1497,535,46
Fraud Detection and Prevention,5,1497,536,85
Fraud Investigation Planning and Execution,5,1497,537,86
Governance,4,1497,538,88
Internal Controls,5,1497,539,89
Litigation Support,5,1497,540,25
Professional Scepticism and Judgment,4,1497,541,30
Professional and Business Ethics,5,1497,542,90
Programming and Coding,3,1497,543,48
Project Execution and Control,4,1497,544,32
Project Management,4,1497,545,34
Regulatory Risk Assessment,5,1497,546,92
Risk Assessment,5,1497,547,96
Stakeholder Management,5,1497,548,35
Valuation Approaches and Methodologies,4,1497,549,73
Accounting Standards,5,92,550,49
Conflict Management,4,92,551,19
Corporate and Business Law,3,92,552,20
Cyber Security,4,92,553,38
Digital Forensics,4,92,554,42
Digital Technology Environment Scanning,4,92,555,44
Evidence Management,4,92,556,45
Financial Crime Laws and Regulations,4,92,557,23
Financial Statements Analysis,5,92,558,64
Forensic Data Analytics,4,92,559,46
Fraud Detection and Prevention,4,92,560,85
Fraud Investigation Planning and Execution,4,92,561,86
Internal Controls,4,92,562,89
Litigation Support,4,92,563,25
Professional Scepticism and Judgment,3,92,564,30
Professional and Business Ethics,4,92,565,90
Programming and Coding,2,92,566,48
Project Execution and Control,3,92,567,32
Project Management,3,92,568,34
Regulatory Risk Assessment,4,92,569,92
Risk Assessment,4,92,570,96
Stakeholder Management,4,92,571,35
Valuation Approaches and Methodologies,3,92,572,73
Auditor Independence,6,163,573,3
Business Acumen,6,163,574,10
Business Innovation and Improvement,5,163,575,13
Business Process Analysis,6,163,576,16
Cyber Security,4,163,577,38
Data Analytics,5,163,578,39
Digital Technology Environment Scanning,5,163,579,44
Due Professional Care,4,163,580,77
Enterprise Risk Management,6,163,581,83
Financial Statements Analysis,3,163,582,64
Fraud Risk Management,6,163,583,87
Governance,6,163,584,88
Infocomm Security and Data Privacy,5,163,585,47
Information Gathering and Analysis,6,163,586,24
Internal Audit Engagement Execution,6,163,587,78
Internal Audit Engagement Planning,6,163,588,79
Internal Audit Function Management,6,163,589,80
Internal Audit Quality Assurance,6,163,590,81
Internal Controls,6,163,591,89
Professional Standards,6,163,592,31
Professional and Business Ethics,6,163,593,90
Risk Management,6,163,594,97
Auditor Independence,4,706,595,3
Business Acumen,4,706,596,10
Business Innovation and Improvement,3,706,597,13
Business Process Analysis,4,706,598,16
Cyber Security,4,706,599,38
Data Analytics,4,706,600,39
Digital Technology Environment Scanning,3,706,601,44
Due Professional Care,3,706,602,77
Enterprise Risk Management,4,706,603,83
Financial Statements Analysis,3,706,604,64
Fraud Risk Management,4,706,605,87
Governance,4,706,606,88
Infocomm Security and Data Privacy,4,706,607,47
Information Gathering and Analysis,4,706,608,24
Internal Audit Engagement Execution,5,706,609,78
Internal Audit Engagement Planning,4,706,610,79
Internal Audit Function Management,4,706,611,80
Internal Audit Quality Assurance,4,706,612,81
Internal Controls,4,706,613,89
Professional Standards,4,706,614,31
Professional and Business Ethics,4,706,615,90
Project Execution and Control,4,706,616,32
Risk Management,4,706,617,97
Auditor Independence,5,562,618,3
Business Acumen,5,562,619,10
Business Innovation and Improvement,4,562,620,13
Business Process Analysis,5,562,621,16
Cyber Security,4,562,622,38
Data Analytics,5,562,623,39
Digital Technology Environment Scanning,4,562,624,44
Due Professional Care,4,562,625,77
Enterprise Risk Management,5,562,626,83
Financial Statements Analysis,3,562,627,64
Fraud Risk Management,5,562,628,87
Governance,5,562,629,88
Infocomm Security and Data Privacy,4,562,630,47
Information Gathering and Analysis,5,562,631,24
Internal Audit Engagement Execution,5,562,632,78
Internal Audit Engagement Planning,5,562,633,79
Internal Audit Function Management,5,562,634,80
Internal Audit Quality Assurance,5,562,635,81
Internal Controls,5,562,636,89
Professional Standards,5,562,637,31
Professional and Business Ethics,5,562,638,90
Project Execution and Control,5,562,639,32
Risk Management,5,562,640,97
Auditor Independence,3,1380,641,3
Business Acumen,3,1380,642,10
Business Innovation and Improvement,3,1380,643,13
Business Process Analysis,3,1380,644,16
Cyber Security,3,1380,645,38
Data Analytics,4,1380,646,39
Due Professional Care,3,1380,647,77
Enterprise Risk Management,3,1380,648,83
Financial Statements Analysis,3,1380,649,64
Fraud Risk Management,4,1380,650,87
Governance,3,1380,651,88
Infocomm Security and Data Privacy,3,1380,652,47
Information Gathering and Analysis,4,1380,653,24
Internal Audit Engagement Execution,4,1380,654,78
Internal Audit Engagement Planning,4,1380,655,79
Internal Controls,3,1380,656,89
Professional Standards,3,1380,657,31
Professional and Business Ethics,3,1380,658,90
Project Execution and Control,3,1380,659,32
Risk Management,3,1380,660,97
Accounting and Tax Systems,2,613,661,37
Audit Compliance,3,613,662,82
Benchmarking,3,613,663,9
Conflict Management,5,613,664,19
Corporate and Business Law,2,613,665,20
Cost Management,3,613,666,54
Data Analytics,3,613,667,39
Data Governance,3,613,668,40
Digital Technology Adoption and Innovation,3,613,669,43
Digital Technology Environment Scanning,3,613,670,44
Finance Business Partnering,3,613,671,22
Financial Analysis,3,613,672,57
Internal Controls,3,613,673,89
Macroeconomic Analysis,3,613,674,26
Management Decision Making,3,613,675,27
Performance Management,2,613,676,29
Professional and Business Ethics,3,613,677,90
Risk Management,3,613,678,97
Tax Implications,3,613,679,102
Taxation Laws,3,613,680,104
Accounting and Tax Systems,5,1055,681,37
Audit Compliance,5,1055,682,82
Business Development,5,1055,683,12
Business Innovation and Improvement,5,1055,684,13
Business Planning,5,1055,685,15
Business Process Management,5,1055,686,17
Capital Expenditure and Investment Evaluation,5,1055,687,50
Change Management,5,1055,688,18
Conflict Management,5,1055,689,19
Corporate and Business Law,5,1055,690,20
Cost Management,6,1055,691,54
Data Analytics,4,1055,692,39
Data Governance,4,1055,693,40
Digital Technology Adoption and Innovation,6,1055,694,43
Digital Technology Environment Scanning,5,1055,695,44
Disruption Management,5,1055,696,21
Finance Business Partnering,5,1055,697,22
Financial Management,5,1055,698,59
Financial Planning,5,1055,699,61
Financial Reporting,6,1055,700,62
Financial Reporting Quality,6,1055,701,63
Macroeconomic Analysis,5,1055,702,26
Management Decision Making,6,1055,703,27
Non-Financial Reporting,6,1055,704,28
Performance Management,5,1055,705,29
Professional and Business Ethics,6,1055,706,90
Regulatory Strategy,6,1055,707,93
Risk Management,5,1055,708,97
Stakeholder Management,5,1055,709,35
Tax Implications,6,1055,710,102
Taxation Laws,6,1055,711,104
Accounting and Tax Systems,4,868,712,37
Audit Compliance,5,868,713,82
Benchmarking,4,868,714,9
Business Innovation and Improvement,4,868,715,13
Business Planning,5,868,716,15
Conflict Management,5,868,717,19
Corporate and Business Law,4,868,718,20
Cost Management,5,868,719,54
Data Analytics,4,868,720,39
Data Governance,4,868,721,40
Digital Technology Adoption and Innovation,5,868,722,43
Digital Technology Environment Scanning,5,868,723,44
Finance Business Partnering,4,868,724,22
Financial Management,4,868,725,59
Financial Planning,4,868,726,61
Financial Reporting,5,868,727,62
Macroeconomic Analysis,5,868,728,26
Management Decision Making,5,868,729,27
Non-Financial Reporting,4,868,730,28
Performance Management,4,868,731,29
Professional and Business Ethics,5,868,732,90
Risk Management,4,868,733,97
Stakeholder Management,4,868,734,35
Tax Implications,5,868,735,102
Taxation Laws,5,868,736,104
Valuation,2,385,737,72
Accounting and Tax Systems,3,757,738,37
Audit Compliance,4,757,739,82
Benchmarking,4,757,740,9
Business Planning,4,757,741,15
Conflict Management,5,757,742,19
Corporate and Business Law,3,757,743,20
Cost Management,4,757,744,54
Data Analytics,3,757,745,39
Data Governance,3,757,746,40
Digital Technology Adoption and Innovation,4,757,747,43
Digital Technology Environment Scanning,4,757,748,44
Finance Business Partnering,4,757,749,22
Financial Analysis,4,757,750,57
Financial Planning,3,757,751,61
Financial Reporting,3,757,752,62
Macroeconomic Analysis,4,757,753,26
Management Decision Making,4,757,754,27
Performance Management,3,757,755,29
Professional and Business Ethics,4,757,756,90
Risk Management,4,757,757,97
Stakeholder Management,3,757,758,35
Tax Implications,4,757,759,102
Taxation Laws,4,757,760,104
Benchmarking,3,385,761,9
Business Acumen,4,385,762,10
Business Development,2,385,763,12
Business Negotiation,3,385,764,14
Capital Raising,3,385,765,51
Conflict Management,3,385,766,19
Corporate and Business Law,3,385,767,20
Financial Analysis,3,385,768,57
Financial Management,2,385,769,59
Financial Modelling,3,385,770,60
Financial Statements Analysis,3,385,771,64
Information Gathering and Analysis,3,385,772,24
Macroeconomic Analysis,3,385,773,26
Post-deal Integration Management,3,385,774,67
Professional and Business Ethics,3,385,775,90
Project Execution and Control,3,385,776,32
Project Feasibility,3,385,777,33
Project Management,3,385,778,34
Regulatory Compliance,3,385,779,91
Risk Assessment,4,385,780,96
Risk Management,3,385,781,97
